source_title,Category
MMWR Recommendations and Reports,Health (social science)
Morbidity and Mortality Weekly Report,Health (social science)
"Qualitative Research in Sport, Exercise and Health",Health (social science)
"Trauma, Violence, and Abuse",Health (social science)
Tobacco Control,Health (social science)
Obesity Facts,Health (social science)
Future of Children,Health (social science)
Social Psychiatry and Psychiatric Epidemiology,Health (social science)
Policy and Internet,Health (social science)
Journal of Urban Health,Health (social science)
Psychology of Violence,Health (social science)
Mindfulness,Health (social science)
GigaScience,Health Informatics
Journal of the American Medical Informatics Association : JAMIA,Health Informatics
Journal of Biomedical Informatics,Health Informatics
Journal of Telemedicine and Telecare,Health Informatics
Computer Methods and Programs in Biomedicine,Health Informatics
Computers in Biology and Medicine,Health Informatics
Alzheimer's and Dementia,Health Policy
Implementation Science,Health Policy
BMJ Quality and Safety,Health Policy
EPMA Journal,Health Policy
Health Affairs,Health Policy
International Journal of Drug Policy,Health Policy
Value in Health,Health Policy
PharmacoEconomics,Health Policy
HIV Medicine,Health Policy
Health Technology Assessment,Health Policy
Journal of Evidence-Based Medicine,Health Policy
BMJ Global Health,Health Policy
Health Policy and Planning,Health Policy
Medical Care Research and Review,Health Policy
International Journal of COPD,Health Policy
Journal of Health Economics,Health Policy
Foods,Health Professions (miscellaneous)
Diabetes Educator,Health Professions (miscellaneous)
Journal of Carcinogenesis,"Health, Toxicology and Mutagenesis"
Mutation Research - Reviews in Mutation Research,"Health, Toxicology and Mutagenesis"
Journal of Hematology and Oncology,Hematology
Leukemia,Hematology
Annals of Oncology,Hematology
The Lancet Haematology,Hematology
Blood Reviews,Hematology
Journal of Thrombosis and Haemostasis,Hematology
Blood Cancer Journal,Hematology
American Journal of Hematology,Hematology
Critical Reviews in Oncology/Hematology,Hematology
Thrombosis and Haemostasis,Hematology
Journal of Hepatology,Hepatology
Hepatology,Hepatology
Journal of Extracellular Vesicles,Histology
Tissue Barriers,Histology
Social Studies of Science,History
Oeconomia Copernicana,History
Public Opinion Quarterly,History
"Geopolitics, History, and International Relations",History
Journal of Eurasian Studies,History
British Journal for the Philosophy of Science,History
Political Geography,History
Journal of Economic History,History
Social Forces,History
American Antiquity,History
Archaeological Prospection,History
European Accounting Review,History
Journal of Island and Coastal Archaeology,History
Journal of Anthropological Archaeology,History
Journal of Heritage Tourism,History
Contemporary Social Science,History
Population Studies,History
International Journal of Heritage Studies,History
Cliometrica,History
Economy and Society,History
Explorations in Economic History,History
Journal of Agricultural and Environmental Ethics,History
Journal of Language and Politics,History
Theory and Society,History
Archaeometry,History
Open Review of Educational Research,History
Historical Social Research,History
Journal of Eastern African Studies,History
Ethnopolitics,History
Economic History Review,History
European Review of Latin American and Caribbean Studies,History
Journal of Southeast European and Black Sea,History
Studies in History and Philosophy of Science Part B - Studies in History and Philosophy of Modern Physics,History
British Politics,History
Historical Methods,History
Modern China,History
Political Theory,History
Accounting History,History
Business History,History
Capital and Class,History
Cliodynamics,History
Europe-Asia Studies,History
Global Constitutionalism,History
Journal of Global History,History
Journal of Historical Geography,History
Levant,History
Archival Science,History
Contemporary Southeast Asia,History
Philosophy of Science,History
Studies in History and Philosophy of Science Part A,History
Asian Studies Review,History
Comparative Studies in Society and History,History
History of the Family,History
Journal of the North Atlantic,History
Religion,History
Twentieth Century British History,History
William and Mary Quarterly,History
Anatolian Studies,History
Critical Military Studies,History
International Journal of Nautical Archaeology,History
Internet Histories,History
Journal of Interdisciplinary History,History
Journal of the History of Medicine and Allied Sciences,History
European Review of Economic History,History
Latin American Antiquity,History
Nationalities Papers,History
Studia Historica Slovenica,History
Turkish Studies,History
Accounting History Review,History
Defence Studies,History
History and Anthropology,History
History of Political Economy,History
Past and Present,History
Settler Colonial Studies,History
AlterNative,History
Bulletin of the American Schools of Oriental Research,History
Business History Review,History
Economic History of Developing Regions,History
History and Philosophy of the Life Sciences,History
History of the Human Sciences,History
Irish Economic and Social History,History
Journal of Human Rights Practice,History
Middle East Critique,History
New Perspectives on Turkey,History
Patterns of Prejudice,History
Revista de Pensamiento Estrategico y Seguridad CISDE,History
Acta Borealia,History
Archives and Records,History
Historical Journal,History
History of Psychology,History
Journal of Asian Studies,History
Journal of Balkan and Near Eastern Studies,History
Journal of Philosophy of Education,History
Management and Organizational History,History
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,History
Social History of Medicine,History
Studies in History and Philosophy of Science Part C :Studies in History and Philosophy of Biological and Biomedical Sciences,History
Tel Aviv,History
TRaNS: Trans-Regional and -National Studies of Southeast Asia,History
Transactions of the Royal Historical Society,History
Asian Perspectives,History
Baltic Journal of European Studies,History
Civil Wars,History
Colombia Internacional,History
Contemporary Levant,History
HAHR - Hispanic American Historical Review,History
Insight on Africa,History
Intelligence and National Security,History
International Journal of Historical Archaeology,History
Journal of Conflict Archaeology,History
Journal of Medical Ethics and History of Medicine,History
Journal of South Asian Development,History
Mediterranean Archaeology and Archaeometry,History
National Identities,History
Postcolonial Studies,History
Social History,History
Terra Economicus,History
Vulcan,History
Caucasus Survey,History
International Journal of Middle East Studies,History
Annals of the New York Academy of Sciences,History and Philosophy of Science
Science Education,History and Philosophy of Science
Social Science and Medicine,History and Philosophy of Science
Qualitative Research,History and Philosophy of Science
Engineering Studies,History and Philosophy of Science
Daedalus,History and Philosophy of Science
Quanta,History and Philosophy of Science
Theory and Psychology,History and Philosophy of Science
"Philosophy, Ethics, and Humanities in Medicine",History and Philosophy of Science
Computers and Electronics in Agriculture,Horticulture
Postharvest Biology and Technology,Horticulture
Horticulture Research,Horticulture
Phytochemistry,Horticulture
Australian Journal of Grape and Wine Research,Horticulture
Scientia Horticulturae,Horticulture
Plant Pathology,Horticulture
"Plant Cell, Tissue and Organ Culture",Horticulture
American Journal of Enology and Viticulture,Horticulture
IEEE Transactions on Human-Machine Systems,Human Factors and Ergonomics
International Journal of Intelligent Systems,Human-Computer Interaction
Nature Reviews Immunology,Immunology
Immunity,Immunology
Annual Review of Immunology,Immunology
Nature Immunology,Immunology and Allergy
Immunological Reviews,Immunology and Allergy
Trends in Immunology,Immunology and Allergy
Journal of Experimental Medicine,Immunology and Allergy
Seminars in Immunopathology,Immunology and Allergy
Science immunology,Immunology and Allergy
Allergy: European Journal of Allergy and Clinical Immunology,Immunology and Allergy
Journal of Allergy and Clinical Immunology,Immunology and Allergy
Seminars in Immunology,Immunology and Allergy
Autoimmunity Reviews,Immunology and Allergy
Mucosal Immunology,Immunology and Allergy
Journal of Autoimmunity,Immunology and Allergy
Clinical Reviews in Allergy and Immunology,Immunology and Allergy
Critical Reviews in Food Science and Nutrition,Industrial and Manufacturing Engineering
Journal of Industrial Information Integration,Industrial and Manufacturing Engineering
Chemical Engineering Journal,Industrial and Manufacturing Engineering
ChemBioEng Reviews,Industrial and Manufacturing Engineering
Chemical Engineering Science,Industrial and Manufacturing Engineering
International Journal of Machine Tools and Manufacture,Industrial and Manufacturing Engineering
IEEE Industrial Electronics Magazine,Industrial and Manufacturing Engineering
Journal of Manufacturing Systems,Industrial and Manufacturing Engineering
Journal of Intelligent Manufacturing,Industrial and Manufacturing Engineering
Applied Thermal Engineering,Industrial and Manufacturing Engineering
IEEE Transactions on Industry Applications,Industrial and Manufacturing Engineering
Sustainable Materials and Technologies,Industrial and Manufacturing Engineering
Journal of Management in Engineering - ASCE,Industrial Relations
Industrial Management and Data Systems,Industrial Relations
International Journal of Human Resource Management,Industrial Relations
Journal of Construction Engineering and Management - ASCE,Industrial Relations
Microbiology and Molecular Biology Reviews,Infectious Diseases
Nature Reviews Microbiology,Infectious Diseases
FEMS Microbiology Reviews,Infectious Diseases
Trends in Microbiology,Infectious Diseases
The Lancet HIV,Infectious Diseases
Current Opinion in Microbiology,Infectious Diseases
Cellular and Molecular Immunology,Infectious Diseases
Journal of Medical Virology,Infectious Diseases
Reviews in Medical Virology,Infectious Diseases
The Lancet Infectious Diseases,Infectious Diseases
Journal of Infection,Infectious Diseases
Clinical Infectious Diseases,Infectious Diseases
Clinical Microbiology and Infection,Infectious Diseases
Emerging Infectious Diseases,Infectious Diseases
Journal of Infectious Diseases,Infectious Diseases
Information and Management,Information Systems
Journal of Big Data,Information Systems
IEEE/CAA Journal of Automatica Sinica,Information Systems
Inorganic Chemistry Frontiers,Inorganic Chemistry
ChemCatChem,Inorganic Chemistry
Bioinorganic Chemistry and Applications,Inorganic Chemistry
Journal of Virology,Insect Science
Current Opinion in Insect Science,Insect Science
Systematic Entomology,Insect Science
Insect Biochemistry and Molecular Biology,Insect Science
Pest Management Science,Insect Science
Entomologia Generalis,Insect Science
Myrmecological News,Insect Science
Insect Science,Insect Science
Journal of Integrated Pest Management,Insect Science
Ticks and Tick-borne Diseases,Insect Science
BioControl,Insect Science
Acta Tropica,Insect Science
Insect Molecular Biology,Insect Science
Applied Spectroscopy Reviews,Instrumentation
Structural Dynamics,Instrumentation
Sensors,Instrumentation
Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,Instrumentation
Nature Electronics,Instrumentation
"Sensors and Actuators, B: Chemical",Instrumentation
Measurement: Journal of the International Measurement Confederation,Instrumentation
IEEE Transactions on Instrumentation and Measurement,Instrumentation
IEEE Sensors Journal,Instrumentation
Journal of Sensor and Actuator Networks,Instrumentation
Diabetes and Metabolism,Internal Medicine
JAMA Internal Medicine,Internal Medicine
Hypertension,Internal Medicine
Journal of Internal Medicine,Internal Medicine
Nutrition and Diabetes,Internal Medicine
Journal of Medical Ethics,"Issues, Ethics and Legal Aspects"
Science and Engineering Ethics,"Issues, Ethics and Legal Aspects"
American Journal of Bioethics,"Issues, Ethics and Legal Aspects"
BMC Medical Ethics,"Issues, Ethics and Legal Aspects"
Artificial Intelligence Review,Language and Linguistics
Communication Research,Language and Linguistics
Journal of Communication,Language and Linguistics
Applied Linguistics,Language and Linguistics
Artificial Intelligence,Language and Linguistics
Communication Monographs,Language and Linguistics
Journal of Memory and Language,Language and Linguistics
Modern Language Journal,Language and Linguistics
Computational Linguistics,Language and Linguistics
Computer Assisted Language Learning,Language and Linguistics
Language Learning,Language and Linguistics
Language Teaching Research,Language and Linguistics
Language Teaching,Language and Linguistics
European Journal of Communication,Language and Linguistics
Studies in Second Language Acquisition,Language and Linguistics
Language Learning and Technology,Language and Linguistics
Bilingualism: Language and Cognition,Language and Linguistics
International Journal of Bilingual Education and Bilingualism,Language and Linguistics
Journal of Second Language Writing,Language and Linguistics
Speech Communication,Language and Linguistics
Communication Theory,Language and Linguistics
Annual Review of Linguistics,Language and Linguistics
International Journal of Multilingualism,Language and Linguistics
Assessing Writing,Language and Linguistics
Journal of Fluency Disorders,Language and Linguistics
Journal of Literacy Research,Language and Linguistics
System,Language and Linguistics
Language in Society,Language and Linguistics
ReCALL,Language and Linguistics
Language Testing,Language and Linguistics
Dialogue and Discourse,Language and Linguistics
TESOL Quarterly,Language and Linguistics
Natural Language Engineering,Language and Linguistics
Journal of English for Academic Purposes,Language and Linguistics
"Language, Cognition and Neuroscience",Language and Linguistics
Applied Ontology,Language and Linguistics
CALICO Journal,Language and Linguistics
International Journal of Language and Communication Disorders,Language and Linguistics
Language Resources and Evaluation,Language and Linguistics
"Language, Speech, and Hearing Services in Schools",Language and Linguistics
Linguistic Approaches to Bilingualism,Language and Linguistics
Discourse Processes,Language and Linguistics
Language and Education,Language and Linguistics
Communication Education,Language and Linguistics
International Journal of Bilingualism,Language and Linguistics
Journal of Child Language,Language and Linguistics
"Journal of Speech, Language, and Hearing Research",Language and Linguistics
Studies in Second Language Learning and Teaching,Language and Linguistics
Aphasiology,Language and Linguistics
International Journal of Audiology,Language and Linguistics
International Multilingual Research Journal,Language and Linguistics
Machine Translation,Language and Linguistics
Research in the Teaching of English,Language and Linguistics
Topics in Language Disorders,Language and Linguistics
"Attention, Perception, and Psychophysics",Language and Linguistics
International Journal of Speech-Language Pathology,Language and Linguistics
Applied Linguistics Review,Language and Linguistics
Language Learning and Development,Language and Linguistics
Language Policy,Language and Linguistics
Corpus Linguistics and Linguistic Theory,Language and Linguistics
International Journal of Speech Technology,Language and Linguistics
Journal of Language and Social Psychology,Language and Linguistics
Discourse Studies,Language and Linguistics
Interaction Studies,Language and Linguistics
Journal of Applied Communication Research,Language and Linguistics
"Journal of Language, Identity and Education",Language and Linguistics
Journal of Pragmatics,Language and Linguistics
Language and Speech,Language and Linguistics
The Interpreter and Translator Trainer,Language and Linguistics
Discourse and Society,Language and Linguistics
Language,Language and Linguistics
Language and Communication,Language and Linguistics
Lodz Papers in Pragmatics,Language and Linguistics
Applied Psycholinguistics,Language and Linguistics
Innovation in Language Learning and Teaching,Language and Linguistics
Journal of Contemporary Ethnography,Language and Linguistics
RELC Journal,Language and Linguistics
Journal of Business Ethics,Law
Marine Policy,Law
British Journal of Criminology,Law
IEEE Communications Standards Magazine,Law
Journal of Air Transport Management,Law
Computer Law and Security Review,Law
"Law, Innovation and Technology",Law
Forensic Chemistry,Law
Journal of Law and the Biosciences,Law
Comparative Migration Studies,Law
Valori e Valutazioni,Law
Resources Policy,Law
Digital Investigation,Law
IET Intelligent Transport Systems,Law
"International Environmental Agreements: Politics, Law and Economics",Law
IEEE Security and Privacy,Law
Transnational Environmental Law,Law
Criminology,Law
Journal of Quantitative Criminology,Law
Justice Quarterly,Law
Crime and Delinquency,Law
Theoretical Criminology,Law
Forensic Science International,Law
Criminal Justice and Behavior,Law
Contemporary Drug Problems,Law
Health and Justice,Law
Homicide Studies,Law
Child Abuse Review,Law
European Journal of Psychology Applied to Legal Context,Law
Journal of Criminal Justice,Law
Youth Violence and Juvenile Justice,Law
"Psychology, Public Policy, and Law",Law
Government Information Quarterly,Law
Computer Standards and Interfaces,Law
Annual Review of Criminology,Law
Computers and Security,Law
Artificial Intelligence and Law,Law
International Data Privacy Law,Law
Criminology and Public Policy,Law
Regulation and Governance,Law
Contemporary Readings in Law and Social Justice,Law
Punishment and Society,Law
University of Pennsylvania Law Review,Law
Criminology and Criminal Justice,Law
Police Quarterly,Law
Journal of Experimental Criminology,Law
Policing and Society,Law
Stanford Law Review,Law
Forensic Science Review,Law
European Journal of Criminology,Law
Journal of Intervention and Statebuilding,Law
Yale Law Journal,Law
International Journal of Law and Information Technology,Law
University of Chicago Law Review,Law
Georgetown Law Journal,Law
Information and Communications Technology Law,Law
Cambridge Yearbook of European Legal Studies,Law
Feminist Criminology,Law
Global Crime,Law
Policing (Oxford),Law
Criminal Justice Policy Review,Law
Violence Against Women,Law
European Journal on Criminal Policy and Research,Law
Trends in Organized Crime,Law
Critical Criminology,Law
Health Care Management Review,Leadership and Management
International Journal of Health Policy and Management,Leadership and Management
Health Information Management Journal,Leadership and Management
International Journal of Information Management,Library and Information Sciences
Journal of Information Technology,Library and Information Sciences
Information and Organization,Library and Information Sciences
Journal of Cheminformatics,Library and Information Sciences
Information Processing and Management,Library and Information Sciences
European Journal of Information Systems,Library and Information Sciences
Information Systems Research,Library and Information Sciences
Journal of the Association for Information Science and Technology,Library and Information Sciences
Journal of Chemical Information and Modeling,Library and Information Sciences
International Journal of Multimedia Information Retrieval,Library and Information Sciences
Journal of Informetrics,Library and Information Sciences
IEEE Transactions on Information Theory,Library and Information Sciences
Journal of Information Science,Library and Information Sciences
Information Retrieval,Library and Information Sciences
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",Life-span and Life-course Studies
Cognition,Linguistics and Language
Journal of Experimental Psychology: Learning Memory and Cognition,Linguistics and Language
Brain and Language,Linguistics and Language
English for Specific Purposes,Linguistics and Language
Journal of Neurolinguistics,Linguistics and Language
Reading and Writing,Linguistics and Language
American Journal of Speech-Language Pathology,Linguistics and Language
Journal of Communication Disorders,Linguistics and Language
Argument and Computation,Linguistics and Language
Cognitive Psychology,Linguistics and Language
Topics in Cognitive Science,Linguistics and Language
Research on Language and Social Interaction,Linguistics and Language
Journal of Language Evolution,Linguistics and Language
Second Language Research,Linguistics and Language
Discourse,Linguistics and Language
Foreign Language Annals,Linguistics and Language
Journal of Writing Research,Literature and Literary Theory
Men and Masculinities,Literature and Literary Theory
Written Communication,Literature and Literary Theory
Poetics,Literature and Literary Theory
Empirical Studies of the Arts,Literature and Literary Theory
Translation Spaces(Netherland),Literature and Literary Theory
Knowledge Cultures,Literature and Literary Theory
"3L: Language, Linguistics, Literature",Literature and Literary Theory
Media Watch,Literature and Literary Theory
Perspectives: Studies in Translatology,Literature and Literary Theory
Astra Salvensis,Literature and Literary Theory
Critical Review,Literature and Literary Theory
Narrative,Literature and Literary Theory
South Atlantic Quarterly,Literature and Literary Theory
Journal of African Cultural Studies,Literature and Literary Theory
Narrative Inquiry,Literature and Literary Theory
Sub-Stance,Literature and Literary Theory
GEMA Online Journal of Language Studies,Literature and Literary Theory
Latin American Research Review,Literature and Literary Theory
English in Education,Literature and Literary Theory
L1 Educational Studies in Language and Literature,Literature and Literary Theory
Language and Literature,Literature and Literary Theory
Journal of Literary Semantics,Literature and Literary Theory
OCNOS,Literature and Literary Theory
Parallax,Literature and Literary Theory
Slavonic and East European Review,Literature and Literary Theory
Spanish in Context,Literature and Literary Theory
Translation and Interpreting,Literature and Literary Theory
Translation and Interpreting Studies,Literature and Literary Theory
College Composition and Communication,Literature and Literary Theory
Language and Dialogue,Literature and Literary Theory
Speculum,Literature and Literary Theory
Comparative Literature,Literature and Literary Theory
English Language Notes,Literature and Literary Theory
English Text Construction,Literature and Literary Theory
Korean Studies,Literature and Literary Theory
Poetics Today,Literature and Literary Theory
Studies in American Humor,Literature and Literary Theory
Acta Linguistica Academica,Literature and Literary Theory
Journal of Australian Studies,Literature and Literary Theory
Journal of Commonwealth Literature,Literature and Literary Theory
Journal of Germanic Linguistics,Literature and Literary Theory
PMLA,Literature and Literary Theory
Revista Signos,Literature and Literary Theory
a/b: Auto/Biography Studies,Literature and Literary Theory
Applied Theatre Research,Literature and Literary Theory
Arabica,Literature and Literary Theory
Asian Studies,Literature and Literary Theory
Atlantic Studies : Global Currents,Literature and Literary Theory
Genre,Literature and Literary Theory
International Journal of Education and the Arts,Literature and Literary Theory
International Journal of English Studies,Literature and Literary Theory
Journal of Screenwriting,Literature and Literary Theory
Journal of World Literature,Literature and Literary Theory
New Literary History,Literature and Literary Theory
New Voices in Translation Studies,Literature and Literary Theory
Positions,Literature and Literary Theory
Renaissance Quarterly,Literature and Literary Theory
Text and Performance Quarterly,Literature and Literary Theory
Boletin de Filologia,Literature and Literary Theory
Cambridge Journal of Postcolonial Literary Inquiry,Literature and Literary Theory
eTropic,Literature and Literary Theory
European Journal of English Studies,Literature and Literary Theory
International Journal of Arabic-English Studies,Literature and Literary Theory
International Journal of English Language and Literature Studies,Literature and Literary Theory
Journal of Hellenic Studies,Literature and Literary Theory
Mark Twain Annual,Literature and Literary Theory
Middle Eastern Literatures,Literature and Literary Theory
Rhetoric Review,Literature and Literary Theory
RILCE,Literature and Literary Theory
Rusin,Literature and Literary Theory
Slavisticna Revija,Literature and Literary Theory
Studies in American Indian Literatures,Literature and Literary Theory
Style,Literature and Literary Theory
Zeitschrift fur Anglistik und Amerikanistik,Literature and Literary Theory
Huntington Library Quarterly,Literature and Literary Theory
Journal of Islamic Studies,Literature and Literary Theory
Novel: A Forum on Fiction,Literature and Literary Theory
Research in Drama Education,Literature and Literary Theory
T'oung Pao,Literature and Literary Theory
Fuzzy Information and Engineering,Logic
Fuzzy Optimization and Decision Making,Logic
Fuzzy Sets and Systems,Logic
Journal of Strategic Information Systems,Management Information Systems
MIS Quarterly: Management Information Systems,Management Information Systems
Knowledge-Based Systems,Management Information Systems
Big Data Research,Management Information Systems
International Journal of Management Reviews,Management of Technology and Innovation
International Journal of Project Management,Management of Technology and Innovation
International Journal of Physical Distribution and Logistics Management,Management of Technology and Innovation
International Entrepreneurship and Management Journal,Management of Technology and Innovation
Electronic Commerce Research and Applications,Management of Technology and Innovation
International Journal of Production Economics,Management Science and Operations Research
Omega,Management Science and Operations Research
Egyptian Informatics Journal,Management Science and Operations Research
Research Policy,Management Science and Operations Research
International Journal of Production Research,Management Science and Operations Research
Journal of Management Information Systems,Management Science and Operations Research
International Journal of Systems Science: Operations and Logistics,Management Science and Operations Research
Current Opinion in Green and Sustainable Chemistry,"Management, Monitoring, Policy and Law"
Biotechnology for Biofuels,"Management, Monitoring, Policy and Law"
Energy Policy,"Management, Monitoring, Policy and Law"
Journal of Environmental Management,"Management, Monitoring, Policy and Law"
International Journal of Greenhouse Gas Control,"Management, Monitoring, Policy and Law"
Journal of Marketing,Marketing
Journal of Retailing,Marketing
Journal of Business Research,Marketing
Journal of Retailing and Consumer Services,Marketing
Industrial Marketing Management,Marketing
International Journal of Research in Marketing,Marketing
ACS Energy Letters,Materials Chemistry
Journal of Materials Chemistry C,Materials Chemistry
Chemical Record,Materials Chemistry
Progress in Organic Coatings,Materials Chemistry
Nature Reviews Materials,Materials Chemistry
IET Nanodielectrics,Materials Chemistry
Materials Chemistry Frontiers,Materials Chemistry
FlatChem,Materials Chemistry
Journal of the European Ceramic Society,Materials Chemistry
Engineering,Materials Science (miscellaneous)
International Journal of Bioprinting,Materials Science (miscellaneous)
Environmental Science: Nano,Materials Science (miscellaneous)
Materials Today Energy,Materials Science (miscellaneous)
Quantum Science and Technology,Materials Science (miscellaneous)
Microsystems and Nanoengineering,Materials Science (miscellaneous)
3D Printing and Additive Manufacturing,Materials Science (miscellaneous)
Journal of Science: Advanced Materials and Devices,Materials Science (miscellaneous)
Women's Health Issues,Maternity and Midwifery
International Journal of Women's Health,Maternity and Midwifery
Women and Birth,Maternity and Midwifery
International Journal of Modern Physics D,Mathematical Physics
Chaos,Mathematical Physics
Journal of Physics A: Mathematical and Theoretical,Mathematical Physics
"European Journal of Mechanics, B/Fluids",Mathematical Physics
Mathematical Geosciences,Mathematics (miscellaneous)
Archive for Rational Mechanics and Analysis,Mathematics (miscellaneous)
Annals of Mathematics,Mathematics (miscellaneous)
Journal for Research in Mathematics Education,Mathematics (miscellaneous)
Stata Journal,Mathematics (miscellaneous)
"Technology, Knowledge and Learning",Mathematics (miscellaneous)
Nature Materials,Mechanical Engineering
Nano Letters,Mechanical Engineering
2D Materials,Mechanical Engineering
npj 2D Materials and Applications,Mechanical Engineering
Proceedings of the Combustion Institute,Mechanical Engineering
International Journal of Precision Engineering and Manufacturing - Green Technology,Mechanical Engineering
Advanced Materials,Mechanical Engineering
Materials Science and Engineering: R: Reports,Mechanical Engineering
Materials Today,Mechanical Engineering
Composites Part B: Engineering,Mechanical Engineering
IEEE Transactions on Intelligent Transportation Systems,Mechanical Engineering
Materials and Design,Mechanical Engineering
Applied Mechanics Reviews,Mechanical Engineering
International Journal of Plasticity,Mechanical Engineering
Scripta Materialia,Mechanical Engineering
CIRP Annals - Manufacturing Technology,Mechanical Engineering
Journal of Alloys and Compounds,Mechanical Engineering
"Materials Science & Engineering A: Structural Materials: Properties, Microstructure and Processing",Mechanical Engineering
IEEE Intelligent Transportation Systems Magazine,Mechanical Engineering
Optics and Lasers in Engineering,Mechanical Engineering
Materials Research Bulletin,Mechanical Engineering
Journal of the Mechanics and Physics of Solids,Mechanical Engineering
Tribology International,Mechanical Engineering
Advanced Materials Interfaces,Mechanical Engineering
Friction,Mechanical Engineering
"Journal of Manufacturing Science and Engineering, Transactions of the ASME",Mechanical Engineering
Structural Health Monitoring,Mechanical Engineering
Mechatronics,Mechanical Engineering
NDT and E International,Mechanical Engineering
Journal of Rheology,Mechanical Engineering
Microporous and Mesoporous Materials,Mechanics of Materials
Advanced Powder Technology,Mechanics of Materials
Composites - Part A: Applied Science and Manufacturing,Mechanics of Materials
Advanced Materials Technologies,Mechanics of Materials
Wear,Mechanics of Materials
IEEE Transactions on Multimedia,Media Technology
IEEE Transactions on Circuits and Systems for Video Technology,Media Technology
IEEE Transactions on Broadcasting,Media Technology
IEEE Multimedia,Media Technology
IEEE Transactions on Consumer Electronics,Media Technology
BMJ Supportive and Palliative Care,Medical and Surgical Nursing
"Journal of Wound, Ostomy and Continence Nursing",Medical and Surgical Nursing
Diabetes Technology and Therapeutics,Medical Laboratory Technology
Histochemistry and Cell Biology,Medical Laboratory Technology
Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology,Medicine (miscellaneous)
npj Regenerative Medicine,Medicine (miscellaneous)
Annual Review of Biomedical Engineering,Medicine (miscellaneous)
Biomaterials Research,Medicine (miscellaneous)
Journal of Tissue Engineering,Medicine (miscellaneous)
Surface Science Reports,Metals and Alloys
Chemical Communications,Metals and Alloys
International Materials Reviews,Metals and Alloys
Journal of Magnesium and Alloys,Metals and Alloys
Journal of Materials Processing Technology,Metals and Alloys
Journal of Materials Science and Technology,Metals and Alloys
Journal of Biomedical Materials Research - Part A,Metals and Alloys
Hydrometallurgy,Metals and Alloys
Journal of Materiomics,Metals and Alloys
Nature Microbiology,Microbiology
Annual Review of Microbiology,Microbiology
mBio,Microbiology
Microbiome,Microbiology (medical)
Journal of Clinical Microbiology,Microbiology (medical)
Geoscientific Model Development,Modeling and Simulation
European Journal of Operational Research,Modeling and Simulation
Computers and Operations Research,Modeling and Simulation
Virtual and Physical Prototyping,Modeling and Simulation
International Journal of Robotics Research,Modeling and Simulation
Energy,Modeling and Simulation
npj Computational Materials,Modeling and Simulation
International Journal of Fatigue,Modeling and Simulation
Engineering with Computers,Modeling and Simulation
Computers and Structures,Modeling and Simulation
IEEE Communications Letters,Modeling and Simulation
Journal of Process Control,Modeling and Simulation
NPG Asia Materials,Modeling and Simulation
Journal of Artificial Intelligence and Soft Computing Research,Modeling and Simulation
Engineering Applications of Computational Fluid Mechanics,Modeling and Simulation
Journal of Computational Science,Modeling and Simulation
CPT: Pharmacometrics and Systems Pharmacology,Modeling and Simulation
Nature Reviews Molecular Cell Biology,Molecular Biology
Molecular Cell,Molecular Biology
Cell Research,Molecular Biology
Nature Chemical Biology,Molecular Biology
Cell Death and Differentiation,Molecular Biology
Matrix Biology,Molecular Biology
Autophagy,Molecular Biology
Molecular Cancer,Molecular Medicine
Trends in Molecular Medicine,Molecular Medicine
EMBO Molecular Medicine,Molecular Medicine
Advances in Biological Regulation,Molecular Medicine
Journal of The American Institute for Conservation,Museology
Museum Anthropology,Museology
Visitor Studies,Museology
Psychology of Music,Music
Journal of Creative Music Systems,Music
Acta Acustica united with Acustica,Music
Musicae Scientiae,Music
AES: Journal of the Audio Engineering Society,Music
Music Perception,Music
Journal of Music Therapy,Music
"Journal of Music, Technology and Education",Music
Journal of Research in Music Education,Music
Music Education Research,Music
Computer Music Journal,Music
Research Studies in Music Education,Music
Conservation Letters,Nature and Landscape Conservation
One Ecosystem,Nature and Landscape Conservation
Ecological Engineering,Nature and Landscape Conservation
Nature Reviews Nephrology,Nephrology
Kidney International Supplements,Nephrology
Journal of the American Society of Nephrology : JASN,Nephrology
Kidney International,Nephrology
American Journal of Kidney Diseases,Nephrology
Ageing Research Reviews,Neurology
Journal of Neuroinflammation,Neurology
Sleep Medicine Reviews,Neurology
Annals of Neurology,Neurology
Movement Disorders,Neurology
Epilepsia,Neurology
Journal of Cerebral Blood Flow and Metabolism,Neurology
GLIA,Neurology
Molecular Neurobiology,Neurology
Neurobiology of Disease,Neurology
Molecular Neurodegeneration,Neurology (clinical)
Neuro-Oncology,Neurology (clinical)
The Lancet Neurology,Neurology (clinical)
Nature Reviews Neurology,Neurology (clinical)
JAMA Neurology,Neurology (clinical)
Brain,Neurology (clinical)
Journal of Stroke,Neurology (clinical)
Neuroscientist,Neurology (clinical)
npj Parkinson's Disease,Neurology (clinical)
Multiple Sclerosis Journal,Neurology (clinical)
Current Neurology and Neuroscience Reports,Neurology (clinical)
Translational Stroke Research,Neurology (clinical)
Neuropsychology Review,Neuropsychology and Physiological Psychology
DMM Disease Models and Mechanisms,Neuroscience (miscellaneous)
